League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee
SP1,2024-25,2023-11-11,Almeria,Sociedad,1,3,A,7,18,2,6,,Pepe Mel,Imanol Alguacil,
SP1,2024-25,2023-11-11,Granada,Getafe,1,1,D,12,10,6,6,,José Ramón Sandoval,José Bordalás,
SP1,2024-25,2023-11-11,Osasuna,Las Palmas,1,1,D,11,6,3,1,,Jagoba Arrasate,García Pimienta,
SP1,2024-25,2023-11-11,Real Madrid,Valencia,5,1,H,16,10,7,4,,Carlo Ancelotti,Rubén Baraja,
SP1,2024-25,2023-12-11,Barcelona,Alaves,2,1,H,11,8,6,1,,Xavi,Luis García,
SP1,2024-25,2023-12-11,Sevilla,Betis,1,1,D,13,14,4,6,,Quique Sánchez Flores,Manuel Pellegrini,
SP1,2024-25,2023-12-11,Ath Madrid,Villarreal,3,1,H,25,11,10,7,,Diego Simeone,Marcelino,
SP1,2024-25,,Alaves,Granada,3,1,H,8,11,5,4,,Luis García,José Ramón Sandoval,
SP1,2024-25,,Vallecano,Barcelona,1,1,D,10,15,4,4,,Iñigo Pérez,Xavi,
SP1,2024-25,,Valencia,Celta,0,0,D,8,13,0,1,,Rubén Baraja,Claudio Giráldez,
SP1,2024-25,,Getafe,Almeria,2,1,H,18,13,5,4,,José Bordalás,Pepe Mel,
SP1,2024-25,,Ath Madrid,Mallorca,1,0,H,20,8,3,1,,Diego Simeone,Javier Aguirre,
SP1,2024-25,,Villarreal,Osasuna,3,1,H,10,15,3,7,,Marcelino,Jagoba Arrasate,
SP1,2024-25,,Sociedad,Sevilla,2,1,H,11,8,8,2,,Imanol Alguacil,Quique Sánchez Flores,
SP1,2024-25,,Cadiz,Real Madrid,0,3,A,13,14,4,5,,Mauricio Pellegrino,Carlo Ancelotti,
SP1,2024-25,,Betis,Las Palmas,1,0,H,12,15,6,4,,Manuel Pellegrini,García Pimienta,
SP1,2024-25,,Girona,Ath Bilbao,1,1,D,12,13,2,6,,Míchel,Ernesto Valverde,
SP1,2024-25,,Mallorca,Cadiz,1,1,D,16,6,3,3,,Javier Aguirre,Mauricio Pellegrino,
SP1,2024-25,2023-01-12,Las Palmas,Getafe,2,0,H,11,12,6,4,,García Pimienta,José Bordalás,
SP1,2024-25,2023-02-12,Girona,Valencia,2,1,H,9,9,5,3,,Míchel,Rubén Baraja,
SP1,2024-25,2023-02-12,Ath Bilbao,Vallecano,4,0,H,9,11,4,3,,Ernesto Valverde,Iñigo Pérez,
SP1,2024-25,2023-02-12,Real Madrid,Granada,2,0,H,11,1,4,0,,Carlo Ancelotti,José Ramón Sandoval,
SP1,2024-25,2023-02-12,Osasuna,Sociedad,1,1,D,9,17,3,5,,Jagoba Arrasate,Imanol Alguacil,
SP1,2024-25,2023-03-12,Mallorca,Alaves,0,0,D,7,7,3,4,,Javier Aguirre,Luis García,
SP1,2024-25,2023-03-12,Almeria,Betis,0,0,D,20,6,8,2,,Pepe Mel,Manuel Pellegrini,
SP1,2024-25,2023-03-12,Sevilla,Villarreal,1,1,D,18,5,4,4,,Quique Sánchez Flores,Marcelino,
SP1,2024-25,2023-03-12,Barcelona,Ath Madrid,1,0,H,13,9,2,4,,Xavi,Diego Simeone,
SP1,2024-25,2023-04-12,Celta,Cadiz,1,1,D,26,2,7,1,,Claudio Giráldez,Mauricio Pellegrino,
SP1,2024-25,2023-08-12,Getafe,Valencia,1,0,H,8,3,6,0,,José Bordalás,Rubén Baraja,
SP1,2024-25,2023-09-12,Alaves,Las Palmas,0,1,A,19,9,5,2,,Luis García,García Pimienta,
SP1,2024-25,2023-09-12,Betis,Real Madrid,1,1,D,14,12,6,2,,Manuel Pellegrini,Carlo Ancelotti,
SP1,2024-25,2023-09-12,Villarreal,Sociedad,0,3,A,20,16,4,5,,Marcelino,Imanol Alguacil,
